article_number,article_title,article_content,BOOK,TITLE,CHAPTER,SECTION,SUBSECTION
3189,Property affected by privileges.,"Privileges may exist, either on movables or immovables, or on both at once.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,2 - OF THE SEVERAL KINDS OF PRIVILEGES,,
3190,General or special privileges on movables.,"Privileges are either general, or special on certain movables.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,,
3191,"General privileges on all movables, enumeration and ranking.","The debts which are privileged on all the movables in general, are those hereafter enumerated, and are paid in the following order: 
1.  Funeral charges.
2.  Law charges.
3.  Charges, of whatever nature, occasioned by the last sickness, concurrently among those to whom they are due.
4.  The wages of servants for the year past, and so much as is due for the current year.
5.  Supplies of provisions made to the debtor or his family, during the last six months, by retail dealers, such as bakers, butchers, grocers; and, during the last year, by keepers of boarding houses and taverns.
6.  The salaries of clerks, secretaries, and other persons of that kind. 
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3192,"Funeral charges, definition.",Funeral charges are those which are incurred for the interment of a person deceased.,III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3193,Reduction of funeral charges of insolvent decedent.,"If the property of the deceased is so incumbered as not to suffice for the payment of his creditors, the funeral charges may, upon the request of any of them, be reduced by the judge to a reasonable rate, regard being had to the station in life which the deceased held and which his family holds.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3194,Limitation in event of reduction.,"But, in case of the reduction, the judge can never allow, at the* expense of the estate, on any account whatever, more than Five Hundred Dollars for all the* expenses occasioned by the interment of the deceased. 
*English translation of French text incomplete; should include ""funeral.""",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3195,"Law charges, definition.","Law charges are such as are occasioned by the prosecution of a suit before the courts.  But this name applies more particularly to the costs, which the party cast has to pay to the party gaining the cause.  It is in favor of these only that the laws [law] grants the privilege.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3196,Costs which enjoy privilege.,"The creditor enjoys this privilege, not with regard to all the expenses which he is obliged to incur in obtaining judgment against his debtor, but with regard only to such as are taxed according to law, and such as arise from the execution of the judgment.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3197,Costs for the general benefit of creditors.,"The cost of affixing seals and making inventories for the better* preservation of the debtor's property, those which occur in cases of failure or cession of property, for the general benefit of creditors, such as fees to lawyers appointed by the court to represent absent creditors, commissions to syndics; and finally, costs incurred for the administration of estates which are either vacant or belonging to absent heirs, enjoy the privileges established in favor of law charges.
*""Better"" has no counterpart in French text.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3198,Costs not taxed in suit.,"Not only has the creditor no privilege for the costs which are not taxed, or which are not included among those mentioned above, but he has no right to demand them even from the debtor.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3199,"Last sickness, definition.",The last sickness is considered to be that of which the debtor died; the expenses of this sickness enjoy the privilege.,III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3200,Chronic sickness.,"But if the sickness with which the deceased was attacked and of which he died, was a chronic disease, the progress of which was slow and which only occasioned death after a long while, then the privilege shall only commence from the time when the malady became so serious as to prevent the deceased from attending to his business and confined him to his bed or chamber.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3201,Maximum period of privileged expenses.,"However long the sickness may have lasted after arriving at the point which prevented him from attending to his affairs, the privilege granted for the expense it has occasioned, can only extend to one year before the decease.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3202,List of expenses privileged.,"The expenses of the last sickness comprehend the fees of physicians and surgeons, the wages of nurses, and the price due to the apothecary for medicines supplied by him to the deceased for his personal use during his last illness.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3203,"Amount due for expenses, fixed by contract or by judge.","The accounts relating to these expenses must be fixed by the judge, in case of dispute, after hearing testimony as to the value of the services rendered or care afforded, or as to the true value of the medicines supplied, unless there has been a contract between the parties, in which case it must be observed.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3204,Last sickness of debtor's children.,"This privilege subsists, not only for the expenses of the last sickness of the debtor, it subsists also for those of the last sickness of children, under his authority, but it is exercised subject to the rules laid down above.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3205,"Servants, definition.","Servants or domestics are those who receive wages, and stay in the house of the person paying and employing them for his* service or that of his family; such are valets, footmen, cooks, butlers, and others who reside in the house.
*English translation of French text incomplete; should include ""personal.""",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3206,Prescription of action; extent of privilege.,"Domestics or servants must make a demand of their wages within a year from the time when they left service, but their privilege is only for the year past, and so much as is due for the present year.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3207,Wages recoverable but not privileged.,"As to the wages of preceding years which may be due, the wages may be recovered, if there is any balanced account, note or obligation of the debtor, but they enjoy no privilege.  They form an ordinary debt, for which domestics or servants come in by contribution with other ordinary creditors.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3208,Supplies furnished by retail dealers.,"Such supplies of provisions as confer a privilege, are those which are made by retail dealers; that is, persons keeping an open shop, and selling, by small portions, provisions and liquors.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3209,Prescription of action; extent of privilege.,"Retail dealers who have furnished such supplies, ought to demand their money within a year from the time of the first supply; but they have a privilege only for the last six months, and for the rest they are placed on the footing of ordinary creditors.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3210,Wholesale dealers.,"Dealers by wholesale in provisions and liquors do not enjoy any privilege on the property of their debtor, further than what they have acquired by mortgage, or by a judgment duly recorded.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3211,Innkeepers and masters of boarding houses.,"It is not keepers of taverns and hotels alone, who are comprehended in the term masters of boarding houses, and who enjoy a privilege for their supplies, but all persons who make a business of receiving persons at board for a fixed price.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3212,Teachers and preceptors.,"Teachers and preceptors, who receive into their houses young persons to be brought up, fed and instructed, enjoy the same privilege which is given to keepers of boarding houses.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3213,Extent of privilege for supplies.,"The privilege of keepers of boarding houses, taverns, and other persons comprised in this class, extends to the last year due, and so much as has expired of the current year.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3214,"Clerks and secretaries, extent and rank of privilege for salaries.","Although clerks, secretaries and other agents of that sort can not be included under the denomination of servants, yet a privilege is granted them for their salaries for the last year elapsed, and so much as has elapsed of the current year.  This privilege, however, can not be enforced until after that of the furnishers of provisions.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,1 - OF GENERAL PRIVILEGES ON MOVABLES,
3216,Special privileges on movables.,"The privileges enumerated in the preceding section, extend to all the movables of the debtor, without distinction.
There are some which act only on particular movables and no other; and it is of these last that we shall treat in this and the following sections.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3217,List of special privileges on particular movables.,"The debts which are privileged on certain movables, are the following: 
1.  The appointments or salaries of the overseer for the current year, on the crops of the year and the proceeds thereof; debts due for necessary supplies furnished to any farm or plantation, and debts due for money actually advanced and used for the purchase of necessary supplies and the payment of necessary expenses for any farm or plantation, on the crops of the year and the proceeds thereof.
2.  The debt of a workman or artisan for the price of his labor, on the movable which he has repaired or made, if the thing continues still in his possession.
3.  The rents of immovables and the wages of laborers employed in working the same, on the crops of the year, and on the furniture, which is found in the house let, or on the farm, and on every thing which serves to the working of the farm.
4.  The debt, on the pledge which is in the creditor's possession.
5.  That of a depositor, on the price of the sale of the thing by him deposited.
6.  The debt due for money laid out in preserving the thing.
7.  The price due on movable effects, if they are yet in the possession of the purchaser.
8.  The things which have been furnished by an innkeeper, on the property of the traveler which has been carried to his inn.
9.  The carrier's charges and the accessory expenses, on the thing carried, including necessary charges and expenses paid by carriers; such as taxes, storage and privileged claims required to be paid before moving the thing; and in case the thing carried be lost or destroyed without the fault of the carrier, this privilege for money paid by the carrier shall attach to insurance effected on the thing for the benefit of the owner, provided written notice of the amount so paid by the carrier and for whose account, with a description of the property lost or destroyed, be given to the insurer or his agent within thirty days after the loss, or if it be impracticable to give the notice in that time, it shall be sufficient to give the notice at any time before the money is paid over.  The privilege hereinbefore granted to the overseer, the laborers, the furnishers of supplies and the party advancing money necessary to carry on any farm or plantation, shall be concurrent and shall not be divested by any prior mortgage, whether conventional, legal or judicial, or by any seizure and sale of the land while the crop is on it.
The privileges granted by this article, on the growing crop, in favor of the classes of persons mentioned shall be concurrent, except the privilege in favor of the laborer, which shall be ranked as the first privilege on the crop.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3219,Method of enforcement of lessor's privilege,"The privilege of the lessor and the manner in which it is enforced against the property subject to it are described in the Title ""Lease"".
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3220,Privilege of pledgee.,"The creditor acquires the right of possessing and retaining the movable which he has received in pledge, as a security for his debt, and may cause it to be sold for the payment of the same.
Hence proceeds the privilege which he enjoys on the thing.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3221,Enforcement of pledge,"For the exercise of this privilege it is necessary that all the requisites stated in the title:  Of Pledge, should be fulfilled.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3222,Privilege of depositor on thing deposited.,"He who deposits a thing in the hands of another still remains the owner of it.
Consequently his claim to it is preferred to that of the other creditors of the depositary, and he may demand the restitution of it,* if he can prove the deposit, in the same manner as is required in agreements for sums of money, and if the thing reclaimed be identically the same which he deposited.
*English translation of French text incomplete; should include ""in kind.""",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3223,Depositor's privilege on price in case of sale.,"If the depositary abuses his trust, by alienating the thing confided to his care, or if his heirs sell it, not knowing that it had been given in deposit, the depositor retains his privilege on the price which shall be due.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3224,Preservation of property of another.,"He who, having in his possession the property of another, whether in deposit or on loan or otherwise, has been obliged to incur any expense for its preservation, acquires on this property two species of rights.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3225,Rights of pledge and retention against owner.,"Against the owner of the thing, his right is in the nature of that of pledge, by virtue of which he may retain the thing until the expenses, which he has incurred, are repaid.
He possesses this qualified right of pledge, even against the creditors of the owner, if they seek to have the thing sold.  He may refuse to restore it, unless they either refund his advance, or give him security that the thing shall fetch a sufficient price for that purpose.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3226,Right of preference against creditors.,"Finally, he who has incurred these expenses has a privilege against these same creditors, by virtue of which he has preference over them out of the price of the thing sold, for the amount of such necessary charges as he shall have incurred for its preservation.  This is the privilege in question in the present paragraph.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3227,Vendor's privilege on movables; agricultural products of the United States.,"He who has sold to another any movable property, which is not paid for, has a preference on the price of his property, over the other creditors of the purchaser, whether the sale was made on a credit or without, if the property still remains in the possession of the purchaser.
So that although the vendor may have taken a note, bond or other acknowledgment from the buyer, he still enjoys the privilege.
Any person who may sell the agricultural products of the United States in the city of New Orlenas [Orleans], shall be entitled to a special lien and privilege thereon to secure the payment of the purchase money, for and during the space of five days only, after the day of delivery; within which time the vendor shall be entitled to seize the same in whatsoever hands or place they may be found, and his claim for the purchase money shall have preference over all others.  If the vendor gives a written order for the delivery of any such products and shall say therein that they are to be delivered without vendor's privilege, then no lien shall attach thereto.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3228,Loss of privilege by sale with other property of purchaser.,"But if he allows the things to be sold, confusedly with a mass of other things belonging to the purchaser, without making his claim, he shall lose the privilege, because it will not be possible in such a case to ascertain what price they brought.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3229,Vendor's claim for restitution.,"If the sale was not made on credit, the seller may even claim back the things in kind, which were thus sold, as long as they are in possession of the purchaser, and prevent the resale of them; provided the claim for restitution be made within eight days of the delivery at farthest, and that the identity of the objects be established.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3230,Restitution dependent on identification.,"When the things reclaimed consist in merchandise, which is sold in bales, packages or cases, the claim shall not be admitted if they have been untied, unpacked or taken out of the cases and mixed with other things of the same nature belonging to the purchaser, so that their identity can no longer be established.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3231,Restitution of things easily recognized.,"But if the things sold are of such a nature as to be easily recognized, as household furniture, even although the papers or cloths, which covered them at the time of delivery, be removed, the claim for restitution shall be allowed.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3232,"Innkeepers, definition.","Those are called innkeepers, who keep a tavern or hotel, and make a business of lodging travelers.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3233,Innkeepers' rights on property of guests.,"Innkeepers and all others who let lodgings or receive or take boarders have a privilege, or more properly, a right of pledge on the property of all persons who take their board or lodging with them, by virtue of which they may retain property, and have it sold, to obtain payment of what such persons may owe them on either accounts above mentioned and this privilege shall extend to extras not to exceed Ten ($10) Dollars supplied by the proprietors of hotels, inns and boarding house keepers.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3234,Property covered by innkeepers' privilege.,"Innkeepers, hotel, boarding house and lodging house keepers enjoy this privilege on all the property which the sojourner has brought to their place, whether it belongs to him or not, because the property so brought into their place has become pledged to them by the mere fact of its introduction into their place.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3235,"Travelers, definition.","The term travelers applies to strangers and such as being transiently in a place where they have no domicile, take their board and lodging at an inn.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3236,"Sale or donation of unclaimed and unredeemed property, procedure.","Whenever any trunk, carpetbag, valise, box, bundle or other baggage which shall hereafter come into the possession of the keeper of any hotel, motel, inn, boarding or lodging house, as such, and shall remain unclaimed or unredeemed for the period of six months, such keeper may proceed to sell the same at public auction, and without judicial proceedings, and out of the proceeds of such sale may retain the amount due him for board, lodging and extras, and the charges for storage, if any, and the expense of advertising and sale thereof, but no such sale shall be made until the expiration of four weeks from the publication of notice of such sale in a newspaper published in or nearest the city, town, village or place in which said hotel, motel, inn, boarding or lodging house is situated.  Said notice shall be published once, in some newspaper, daily or weekly, of general circulation, and shall contain a description of each trunk, carpetbag, valise, box, bundle or other baggage as near as may be; the name of the owner, if known; the name of the keeper, and the time and place of sale.  The expense incurred for advertising shall be a lien upon such trunk, carpetbag, valise, box, bundle or other baggage in a ratable proportion according to the value of such property, or thing or article sold.  In case any balance arising upon such sale shall not be claimed by the rightful owner within one week from the day of said sale the same shall be paid to any authorized charity or state institution.
Alternatively, the hotel, motel, inn, boarding house, or lodging house at its discretion may store the unclaimed or unredeemed possessions for six months and at the expiration of this period donate, give or turn them over to an authorized charity, or state institution.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,2 - OF THE PRIVILEGES ON PARTICULAR MOVABLES,
3237,"Privileges on ships and vessels, enumeration and ranking; prescription.","The following debts are privileged on the price of ships and other vessels, in the order in which they are placed: 
1.  Legal and other charges incurred to obtain the sale of a ship or other vessel, and the distribution of the price.
2.  Debts for pilotage, towage, wharfage and anchorage.
3.  The expenses of keeping the vessel from the time of her entrance into port until sale, including the wages of persons employed to watch her. 
4.  The rent of stores, in which the rigging and apparel are deposited.
5.  The maintenance of the ship and her tackle and apparatus, since her return into port from her last voyage.
6.  The wages of the captain and crew employed on the last voyage. 
7.  Sums lent to the captain for the necessities of the ship during the last voyage, and reimbursement of the price of merchandise sold by him for the same purpose.
8.  Sums due to sellers, to those who have furnished materials and to workmen employed in the construction, if the vessel has never made a voyage; and those due to creditors for supplies, labor, repairing, victuals, armament and equipment, previous to the departure of the ship, if she has already made a voyage.
9.  Money lent on bottomry for refitting, victualing, arming and equipping the vessel before her departure.
10.  The premiums due for insurance made on the vessel, tackle and apparel, and on the armament and equipment of the ship.
11.  The amount of damage due to freighters for the failure in delivering goods which they have shipped, or for the reimbursement of damage sustained by the goods through the fault of the captain or crew.
12.  Where any loss or damage has been caused to the person or property of any individual by any carelessness, neglect or want of skill in the direction or management of any steamboat, barge, flatboat, water craft or raft, the party injured shall have a privilege to rank after the privileges above specified.
The term of prescription of privileges against ships, steamboats and other vessels shall be six months.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,3 - OF THE PRIVILEGE ON SHIPS AND MERCHANDISE,
3238,Proportionate payment to creditors of same rank.,"The creditors, named in each number of the preceding article, except number twelve, come in together, and must all suffer a ratable diminution, if the fund be insufficient.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,3 - OF THE PRIVILEGE ON SHIPS AND MERCHANDISE,
3239,Right of pursuit after sale of ship.,"Creditors having privileges on ships or other vessels, may pursue the vessel in the possession of any person who has obtained it by virtue of a sale; in this case, however, a distinction must be made between a forced and a voluntary sale.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,3 - OF THE PRIVILEGE ON SHIPS AND MERCHANDISE,
3240,Privilege on price of adjudication in case of forced sale.,"When the sale was a forced one, the right of the purchaser to the property becomes irrevocable; he owes only the price of adjudication, and over it the creditors exercise their privilege, in the order above prescribed.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,3 - OF THE PRIVILEGE ON SHIPS AND MERCHANDISE,
3241,"Voluntary sale, distinction between sale in port or on voyage.","When the sale is voluntary on the part of the owner, a distinction is to be made, whether the* vessel was in port or on a voyage.
*English translation of French text incomplete; should include ""ship or other.""",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,3 - OF THE PRIVILEGE ON SHIPS AND MERCHANDISE,
3242,"Voluntary sale of ship in port, rights of privileged creditors.","When a sale has been made, the vessel being in port, the creditors of the vendor, who enjoy the privilege for some cause anterior to the act of sale, may demand payment and enforce their rights over the ship, until a voyage has been made in the name and at the risk of the purchaser, without any claim interposed by them.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,3 - OF THE PRIVILEGE ON SHIPS AND MERCHANDISE,
3243,Loss of privilege after voyage in name of purchaser.,"But when the ship has made a voyage in the name and at the risk of the purchaser, without any claim on the part of the privileged creditors of the vendor, these privileges are lost and extinct against the ship, if she was in port at the time of sale.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,3 - OF THE PRIVILEGE ON SHIPS AND MERCHANDISE,
3244,"Voluntary sale of ship while on voyage, rights of privileged creditors.","On the other hand, if the ship was on a voyage at the time of sale, the privilege of the creditor against the purchaser shall only become extinct after the ship shall have returned to the port of departure, and the creditors of the vendor shall have allowed her to depart on another voyage for the account and risk of the purchaser, and shall have made no claim.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,3 - OF THE PRIVILEGE ON SHIPS AND MERCHANDISE,
3245,"Voyage, definition.","A ship is considered to have made a voyage, when her departure from one port and arrival at another shall have taken place, or when, without having arrived at another, more than sixty days have elapsed between the departure and return to the same port; or when the ship, having departed on a long voyage, has been out more than sixty days, without any claim on the part of persons pretending a privilege.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,3 - OF THE PRIVILEGE ON SHIPS AND MERCHANDISE,
3246,Captain's privilege on cargo for freight charges.,"The captain has a privilege for the freight during fifteen days after the delivery of the merchandise, if they have not passed into third hands.  He may even keep the goods, unless the shipper or consignee shall give him security for the payment of the freight.",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,XX-A. PLEDGE,3 - OF PRIVILEGES ON MOVABLES,3 - OF THE PRIVILEGE ON SHIPS AND MERCHANDISE,
